source,file_name,sheet_name,header_row_index,delimiter,encoding,row_count,column_list,identifier_status,notes
SCIMAGO,scimago\scimago_decision\scimagojr 2025  Subject Area - Decision Sciences.csv,,0,;,utf-8,611,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2025)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_economics\scimagojr 2019  Subject Area - Economics, Econometrics and Finance.csv",,0,;,utf-8,1387,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2019)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_economics\scimagojr 2020  Subject Area - Economics, Econometrics and Finance.csv",,0,;,utf-8,1398,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2020)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_economics\scimagojr 2021  Subject Area - Economics, Econometrics and Finance.csv",,0,;,utf-8,1380,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2021)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_economics\scimagojr 2022  Subject Area - Economics, Econometrics and Finance.csv",,0,;,utf-8,1394,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2022)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_economics\scimagojr 2023  Subject Area - Economics, Econometrics and Finance.csv",,0,;,utf-8,1394,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2023)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_economics\scimagojr 2024  Subject Area - Economics, Econometrics and Finance.csv",,0,;,utf-8,1380,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2024)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_economics\scimagojr 2025  Subject Area - Economics, Econometrics and Finance.csv",,0,;,utf-8,1383,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2025)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,scimago\scimago_multidisciplinary\scimagojr 2019  Subject Area - Multidisciplinary.csv,,0,;,utf-8,197,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2019)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,scimago\scimago_multidisciplinary\scimagojr 2020  Subject Area - Multidisciplinary.csv,,0,;,utf-8,201,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2020)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
