Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
29;25823;"Complexity";journal;"10762787, 10990526";"John Wiley and Sons Inc";Yes;No;0,447;Q1;93;1355;1736;53956;4925;1682;2,80;39,82;33,34;16;United States;Northern America;"John Wiley and Sons Inc";"1995-2026";"Multidisciplinary (Q1); Computer Science (miscellaneous) (Q2)";"Computer Science; Multidisciplinary"
30;21100394266;"International Journal of Agile Systems and Management";journal;"17419174, 17419182";"Inderscience";No;No;0,440;Q1;31;20;53;1247;144;52;2,67;62,35;29,23;0;Switzerland;Western Europe;"Inderscience";"2006-2009, 2011-2026";"Multidisciplinary (Q1); Computer Science (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Industrial and Manufacturing Engineering (Q2); Management Information Systems (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Multidisciplinary"
31;21100235612;"International Journal of Technology";journal;"20869614, 20872100";"Faculty of Engineering, Universitas Indonesia";Yes;No;0,434;-;32;159;504;4148;736;499;1,40;26,09;39,81;4;Indonesia;Asiatic Region;"Faculty of Engineering, Universitas Indonesia";"2010-2026";"Engineering (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Engineering"
32;22251;"Pacific Science";journal;"15346188, 00308870";"University of Hawaii Press";No;No;0,429;Q1;50;24;106;827;112;106;1,01;34,46;33,33;4;United States;Northern America;"University of Hawaii Press";"1979-2025";"Multidisciplinary (Q1)";"Multidisciplinary"
33;25522;"Tsinghua Science and Technology";journal;"10070214, 18787606";"Tsinghua University";Yes;No;0,428;Q1;69;69;199;2169;541;198;2,73;31,43;28,78;0;China;Asiatic Region;"Tsinghua University";"2003-2025";"Multidisciplinary (Q1)";"Multidisciplinary"
34;21100901173;"Applied Network Science";journal;"23648228";"Springer Nature";Yes;No;0,407;Q1;36;98;213;4792;405;213;1,75;48,90;25,87;14;Switzerland;Western Europe;"Springer Nature";"2016-2026";"Multidisciplinary (Q1); Computer Networks and Communications (Q2); Computational Mathematics (Q3)";"Computer Science; Mathematics; Multidisciplinary"
35;23030;"Journal of the Royal Society of New Zealand";journal;"03036758";"Taylor and Francis Ltd.";No;No;0,392;Q1;51;40;106;2891;164;94;2,32;72,28;44,35;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2025";"Multidisciplinary (Q1)";"Multidisciplinary"
36;18659;"Anais da Academia Brasileira de Ciencias";journal;"00013765, 16782690";"Academia Brasileira de Ciencias";Yes;Yes;0,386;Q1;81;363;870;16952;1567;854;1,77;46,70;46,37;17;Brazil;Latin America;"Academia Brasileira de Ciencias";"1945-1946, 1949, 1970-1992, 1994-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
37;13951;"Arabian Journal for Science and Engineering";journal;"21914281, 2193567X";"";No;No;0,360;Q2;89;753;1821;32747;4496;1820;2,46;43,49;22,35;5;Germany;Western Europe;"";"1984, 1986, 1996-2026";"Multidisciplinary (Q2)";"Multidisciplinary"
38;21100317906;"MethodsX";journal;"22150161";"Elsevier B.V.";Yes;No;0,356;-;64;427;545;7684;1034;545;1,79;18,00;38,62;26;Netherlands;Western Europe;"Elsevier B.V.";"2014-2026";"Medical Laboratory Technology (Q2); Clinical Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions"
